,Email Text,Email Type
49,"Hi Taylor, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email
50,"Hi John, please find the attached report for this month's performance review.",Safe Email
51,We noticed some unusual activity in your account. Log in to review recent transactions.,Phishing Email
52,"Hi Jane, please find the attached report for this month's performance review.",Safe Email
53,"Hello Sam, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
54,"Hi John, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
55,"Hi Morgan, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
56,"Dear Chris, thank you for your purchase. Your order will be shipped soon.",Safe Email
57,"Dear Jordan, your subscription has been successfully renewed. Thank you for your continued support.",Safe Email
58,Your payment has been declined. Update your billing information to continue using our service.,Phishing Email
59,Your invoice is attached. Please review and pay promptly to avoid penalties.,Phishing Email
60,Reminder: Our meeting is scheduled for tomorrow at 2 PM. Please be prepared with your updates.,Safe Email
61,Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email
62,Important: Update your email account settings to avoid service interruption.,Phishing Email
63,Your payment has been declined. Update your billing information to continue using our service.,Phishing Email
64,Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email
65,You have a new secure message from your bank. Click here to read it.,Phishing Email
66,Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email
67,Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email
68,"Dear Drew, your account has been compromised. Click the link to reset your password immediately.",Phishing Email
69,Congratulations! You've won a $500 gift card. Click here to claim your prize.,Phishing Email
70,Your payment has been declined. Update your billing information to continue using our service.,Phishing Email
71,Important: Update your email account settings to avoid service interruption.,Phishing Email
72,"Dear John, your account has been compromised. Click the link to reset your password immediately.",Phishing Email
73,Important: Update your email account settings to avoid service interruption.,Phishing Email
74,"Dear Chris, your subscription has been successfully renewed. Thank you for your continued support.",Safe Email
75,"Hello Morgan, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
76,Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email
77,"Hi Jane, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
78,Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email
79,Please find attached the minutes from our last meeting. Let me know if you have any questions.,Safe Email
80,Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email
81,Congratulations! You've won a $2000 gift card. Click here to claim your prize.,Phishing Email
82,You have a new secure message from your bank. Click here to read it.,Phishing Email
83,"Hello Drew, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
84,Your invoice is attached. Please review and pay promptly to avoid penalties.,Phishing Email
85,"Hi Drew, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
86,Reminder: Our meeting is scheduled for tomorrow at 1 PM. Please be prepared with your updates.,Safe Email
87,"Dear Sam, your subscription has been successfully renewed. Thank you for your continued support.",Safe Email
88,You have a new secure message from your bank. Click here to read it.,Phishing Email
89,"Hi John, please find the attached report for this month's performance review.",Safe Email
90,"Hello Taylor, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
91,Congratulations! You've won a $3000 gift card. Click here to claim your prize.,Phishing Email
92,"Dear Morgan, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email
93,Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email
94,We noticed some unusual activity in your account. Log in to review recent transactions.,Phishing Email
95,Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email
96,Your invoice is attached. Please review and pay promptly to avoid penalties.,Phishing Email
97,"Dear Chris, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email
98,Your payment has been declined. Update your billing information to continue using our service.,Phishing Email
99,You have a new secure message from your bank. Click here to read it.,Phishing Email
100,Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email
101,"Hi Chris, please find the attached report for this month's performance review.",Safe Email
102,"Hi Jane, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email
103,You have a new secure message from your bank. Click here to read it.,Phishing Email
104,"Hi Morgan, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email
105,Your payment has been declined. Update your billing information to continue using our service.,Phishing Email
106,"Dear Alex, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email
107,"Hello Casey, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
108,"Hi Jane, please find the attached report for this month's performance review.",Safe Email
109,"Hi Sam, please find the attached report for this month's performance review.",Safe Email
110,Please find attached the minutes from our last meeting. Let me know if you have any questions.,Safe Email
111,"Dear Jordan, your subscription has been successfully renewed. Thank you for your continued support.",Safe Email
112,"Dear Taylor, your subscription has been successfully renewed. Thank you for your continued support.",Safe Email
113,Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email
114,Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email
115,Your payment has been declined. Update your billing information to continue using our service.,Phishing Email
116,Your payment has been declined. Update your billing information to continue using our service.,Phishing Email
117,Important: Update your email account settings to avoid service interruption.,Phishing Email
118,"Hello John, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
119,Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email
120,Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email
121,You have a new secure message from your bank. Click here to read it.,Phishing Email
122,Important: Update your email account settings to avoid service interruption.,Phishing Email
123,"Dear Morgan, thank you for your purchase. Your order will be shipped soon.",Safe Email
124,Your invoice is attached. Please review and pay promptly to avoid penalties.,Phishing Email
125,"Dear Casey, thank you for your purchase. Your order will be shipped soon.",Safe Email
126,"Dear Jordan, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email
127,"Dear Drew, your account has been compromised. Click the link to reset your password immediately.",Phishing Email
128,Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email
129,Please find attached the minutes from our last meeting. Let me know if you have any questions.,Safe Email
130,Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email
131,"Dear Jordan, your subscription has been successfully renewed. Thank you for your continued support.",Safe Email
132,Your payment has been declined. Update your billing information to continue using our service.,Phishing Email
133,Your invoice is attached. Please review and pay promptly to avoid penalties.,Phishing Email
134,"Hi Taylor, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
135,Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email
136,Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email
137,We noticed some unusual activity in your account. Log in to review recent transactions.,Phishing Email
138,Important: Update your email account settings to avoid service interruption.,Phishing Email
139,"Hi Chris, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
140,Your payment has been declined. Update your billing information to continue using our service.,Phishing Email
141,Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email
142,Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email
143,Reminder: Our meeting is scheduled for tomorrow at 2 PM. Please be prepared with your updates.,Safe Email
144,You have a new secure message from your bank. Click here to read it.,Phishing Email
145,"Dear Alex, your account has been compromised. Click the link to reset your password immediately.",Phishing Email
146,"Hi Casey, please find the attached report for this month's performance review.",Safe Email
147,"Hello Jordan, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
148,"Dear Casey, your account has been compromised. Click the link to reset your password immediately.",Phishing Email
149,Important: Update your email account settings to avoid service interruption.,Phishing Email
150,Your payment has been declined. Update your billing information to continue using our service.,Phishing Email
151,"Hello John, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
152,You have a new secure message from your bank. Click here to read it.,Phishing Email
153,"Dear Morgan, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email
154,"Hi Casey, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
155,"Hi Morgan, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
156,"Hi Morgan, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
157,"Hello Morgan, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
158,Important: Update your email account settings to avoid service interruption.,Phishing Email
159,Your payment has been declined. Update your billing information to continue using our service.,Phishing Email
160,"Hi Casey, please find the attached report for this month's performance review.",Safe Email
161,"Hi Taylor, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email
162,"Dear Morgan, thank you for your purchase. Your order will be shipped soon.",Safe Email
163,Important: Update your email account settings to avoid service interruption.,Phishing Email
164,Congratulations! You've won a $3000 gift card. Click here to claim your prize.,Phishing Email
165,We noticed some unusual activity in your account. Log in to review recent transactions.,Phishing Email
166,You have a new secure message from your bank. Click here to read it.,Phishing Email
167,Important: Update your email account settings to avoid service interruption.,Phishing Email
168,"Hi Alex, please find the attached report for this month's performance review.",Safe Email
169,"Hi Sam, please find the attached report for this month's performance review.",Safe Email
170,"Dear Sam, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email
171,You have a new secure message from your bank. Click here to read it.,Phishing Email
172,Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email
173,Reminder: Our meeting is scheduled for tomorrow at 2 PM. Please be prepared with your updates.,Safe Email
174,Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email
175,Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email
176,Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email
177,Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email
178,Important: Update your email account settings to avoid service interruption.,Phishing Email
179,Your payment has been declined. Update your billing information to continue using our service.,Phishing Email
180,"Hi Taylor, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
181,"Hi Jane, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
182,You have a new secure message from your bank. Click here to read it.,Phishing Email
183,We noticed some unusual activity in your account. Log in to review recent transactions.,Phishing Email
184,"Dear Sam, your account has been compromised. Click the link to reset your password immediately.",Phishing Email
185,Please find attached the minutes from our last meeting. Let me know if you have any questions.,Safe Email
186,Congratulations! You've won a $2000 gift card. Click here to claim your prize.,Phishing Email
187,"Dear Jane, your account has been compromised. Click the link to reset your password immediately.",Phishing Email
188,"Hi Taylor, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
189,"Hi Jane, please find the attached report for this month's performance review.",Safe Email
190,"Dear Drew, your subscription has been successfully renewed. Thank you for your continued support.",Safe Email
191,Reminder: Our meeting is scheduled for tomorrow at 2 PM. Please be prepared with your updates.,Safe Email
192,"Dear Casey, thank you for your purchase. Your order will be shipped soon.",Safe Email
193,Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email
194,"Hi Casey, please find the attached report for this month's performance review.",Safe Email
195,"Dear Chris, your account has been compromised. Click the link to reset your password immediately.",Phishing Email
196,Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email
197,"Dear Morgan, your subscription has been successfully renewed. Thank you for your continued support.",Safe Email
198,"Dear Jane, your account has been compromised. Click the link to reset your password immediately.",Phishing Email
199,You have a new secure message from your bank. Click here to read it.,Phishing Email
200,Your invoice is attached. Please review and pay promptly to avoid penalties.,Phishing Email
201,"Dear Sam, thank you for your purchase. Your order will be shipped soon.",Safe Email
202,"Dear John, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email
203,Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email
204,"Hello Sam, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
205,"Dear Jordan, thank you for your purchase. Your order will be shipped soon.",Safe Email
206,Congratulations! You've won a $2000 gift card. Click here to claim your prize.,Phishing Email
207,"Dear Taylor, thank you for your purchase. Your order will be shipped soon.",Safe Email
208,"Dear Morgan, thank you for your purchase. Your order will be shipped soon.",Safe Email
209,Important: Update your email account settings to avoid service interruption.,Phishing Email
210,Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email
211,We noticed some unusual activity in your account. Log in to review recent transactions.,Phishing Email
212,Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email
213,"Dear Alex, your subscription has been successfully renewed. Thank you for your continued support.",Safe Email
214,"Hi Jane, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
215,"Hi Jordan, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
216,Important: Update your email account settings to avoid service interruption.,Phishing Email
217,You have a new secure message from your bank. Click here to read it.,Phishing Email
218,You have a new secure message from your bank. Click here to read it.,Phishing Email
219,Your payment has been declined. Update your billing information to continue using our service.,Phishing Email
220,Important: Update your email account settings to avoid service interruption.,Phishing Email
221,"Dear Jane, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email
222,You have a new secure message from your bank. Click here to read it.,Phishing Email
223,"Dear Jane, your account has been compromised. Click the link to reset your password immediately.",Phishing Email
224,"Dear Taylor, thank you for your purchase. Your order will be shipped soon.",Safe Email
225,"Hi Drew, please find the attached report for this month's performance review.",Safe Email
226,Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email
227,"Dear Casey, your account has been compromised. Click the link to reset your password immediately.",Phishing Email
228,"Dear John, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email
229,You have a new secure message from your bank. Click here to read it.,Phishing Email
230,Your payment has been declined. Update your billing information to continue using our service.,Phishing Email
231,"Hello Chris, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
232,Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email
233,Your invoice is attached. Please review and pay promptly to avoid penalties.,Phishing Email
234,Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email
235,Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email
236,We noticed some unusual activity in your account. Log in to review recent transactions.,Phishing Email
237,"Hi Alex, please find the attached report for this month's performance review.",Safe Email
238,Please find attached the minutes from our last meeting. Let me know if you have any questions.,Safe Email
239,"Dear Jane, thank you for your purchase. Your order will be shipped soon.",Safe Email
240,"Hello Casey, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
241,"Dear Alex, thank you for your purchase. Your order will be shipped soon.",Safe Email
242,You have a new secure message from your bank. Click here to read it.,Phishing Email
243,You have a new secure message from your bank. Click here to read it.,Phishing Email
244,"Dear Jane, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email
245,Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email
246,Congratulations! You've won a $2000 gift card. Click here to claim your prize.,Phishing Email
247,Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email
248,We noticed some unusual activity in your account. Log in to review recent transactions.,Phishing Email
249,"Hi Casey, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
250,"Dear Taylor, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email
251,"Hi Jordan, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email
252,Important: Update your email account settings to avoid service interruption.,Phishing Email
253,"Hi John, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email
254,"Hi Jane, please find the attached report for this month's performance review.",Safe Email
255,Your invoice is attached. Please review and pay promptly to avoid penalties.,Phishing Email
256,Congratulations! You've won a $3000 gift card. Click here to claim your prize.,Phishing Email
257,You have a new secure message from your bank. Click here to read it.,Phishing Email
258,"Dear Jane, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email
259,"Hi Taylor, please find the attached report for this month's performance review.",Safe Email
260,Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email
261,Congratulations! You've won a $1000 gift card. Click here to claim your prize.,Phishing Email
262,"Hello Jordan, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
263,"Dear Casey, your subscription has been successfully renewed. Thank you for your continued support.",Safe Email
264,Please find attached the minutes from our last meeting. Let me know if you have any questions.,Safe Email
265,"Hi John, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
266,We noticed some unusual activity in your account. Log in to review recent transactions.,Phishing Email
267,Reminder: Our meeting is scheduled for tomorrow at 3 PM. Please be prepared with your updates.,Safe Email
268,You have a new secure message from your bank. Click here to read it.,Phishing Email
269,"Hello Alex, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
270,Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email
271,Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email
272,Reminder: Our meeting is scheduled for tomorrow at 10 AM. Please be prepared with your updates.,Safe Email
273,"Hello Sam, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
274,Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email
275,"Hi Drew, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email
276,You have a new secure message from your bank. Click here to read it.,Phishing Email
277,Your payment has been declined. Update your billing information to continue using our service.,Phishing Email
278,"Dear Casey, your subscription has been successfully renewed. Thank you for your continued support.",Safe Email
279,Congratulations! You've won a $1500 gift card. Click here to claim your prize.,Phishing Email
280,"Hi Drew, please find the attached report for this month's performance review.",Safe Email
281,Reminder: Our meeting is scheduled for tomorrow at 4 PM. Please be prepared with your updates.,Safe Email
282,"Hi Chris, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email
283,Your payment has been declined. Update your billing information to continue using our service.,Phishing Email
284,"Hello Alex, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
285,"Hello Jane, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
286,"Dear Sam, thank you for your purchase. Your order will be shipped soon.",Safe Email
287,Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email
288,"Dear Taylor, your subscription has been successfully renewed. Thank you for your continued support.",Safe Email
289,We noticed some unusual activity in your account. Log in to review recent transactions.,Phishing Email
290,Your invoice is attached. Please review and pay promptly to avoid penalties.,Phishing Email
291,Congratulations! You've won a $1000 gift card. Click here to claim your prize.,Phishing Email
292,"Hi Jordan, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email
293,"Dear Drew, your subscription has been successfully renewed. Thank you for your continued support.",Safe Email
294,"Hi Jordan, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email
295,Alert: Unusual login attempt detected. Verify your account by clicking here.,Phishing Email
296,Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email
297,"Hello Alex, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
298,"Dear Chris, your account has been compromised. Click the link to reset your password immediately.",Phishing Email
299,"Hi Jane, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email
300,"Dear Jordan, thank you for your purchase. Your order will be shipped soon.",Safe Email
301,You have a new secure message from your bank. Click here to read it.,Phishing Email
302,Important: Update your email account settings to avoid service interruption.,Phishing Email
303,Your payment has been declined. Update your billing information to continue using our service.,Phishing Email
304,Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email
305,Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email
306,"Dear Chris, your subscription has been successfully renewed. Thank you for your continued support.",Safe Email
307,Your invoice is attached. Please review and pay promptly to avoid penalties.,Phishing Email
308,"Dear Casey, your account has been compromised. Click the link to reset your password immediately.",Phishing Email
309,"Hi John, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
310,Reminder: Our meeting is scheduled for tomorrow at 10 AM. Please be prepared with your updates.,Safe Email
311,Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email
312,Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email
313,"Hi Morgan, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email
314,Important: Update your email account settings to avoid service interruption.,Phishing Email
315,"Hello Chris, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
316,"Hello Taylor, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
317,Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email
318,"Dear Jordan, your account has been compromised. Click the link to reset your password immediately.",Phishing Email
319,Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email
320,"Hello Alex, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
321,"Dear Morgan, your account has been compromised. Click the link to reset your password immediately.",Phishing Email
322,We noticed some unusual activity in your account. Log in to review recent transactions.,Phishing Email
323,"Hi Morgan, it was great meeting you at the conference. Let's catch up for coffee next week.",Safe Email
324,"Dear Sam, your account has been compromised. Click the link to reset your password immediately.",Phishing Email
325,"Dear Jane, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email
326,"Hi Sam, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
327,Your invoice is attached. Please review and pay promptly to avoid penalties.,Phishing Email
328,"Dear Drew, thank you for your purchase. Your order will be shipped soon.",Safe Email
329,Reminder: Our meeting is scheduled for tomorrow at 2 PM. Please be prepared with your updates.,Safe Email
330,"Hello Taylor, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
331,Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email
332,We noticed some unusual activity in your account. Log in to review recent transactions.,Phishing Email
333,"Dear Morgan, your account has been compromised. Click the link to reset your password immediately.",Phishing Email
334,"Hi Chris, please find the attached report for this month's performance review.",Safe Email
335,Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email
336,"Hi Drew, please find the attached report for this month's performance review.",Safe Email
337,"Hello Jane, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
338,Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email
339,Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email
340,Congratulations! You've won a $2000 gift card. Click here to claim your prize.,Phishing Email
341,Your invoice is attached. Please review and pay promptly to avoid penalties.,Phishing Email
342,Your package delivery is pending. Please provide your personal information to confirm delivery.,Phishing Email
343,Your payment has been declined. Update your billing information to continue using our service.,Phishing Email
344,"Hi Casey, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
345,Important: Update your email account settings to avoid service interruption.,Phishing Email
346,Congratulations! You've won a $1500 gift card. Click here to claim your prize.,Phishing Email
347,Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email
348,Important: Update your email account settings to avoid service interruption.,Phishing Email
349,You have a new secure message from your bank. Click here to read it.,Phishing Email
350,"Dear Jordan, we are pleased to inform you about our upcoming webinar. Register now to secure your spot.",Safe Email
351,Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email
352,Important: Update your email account settings to avoid service interruption.,Phishing Email
353,Your payment has been declined. Update your billing information to continue using our service.,Phishing Email
354,Congratulations! You've won a $500 gift card. Click here to claim your prize.,Phishing Email
355,Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email
356,"Dear Taylor, thank you for your purchase. Your order will be shipped soon.",Safe Email
357,"Hi John, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
358,Please find attached the minutes from our last meeting. Let me know if you have any questions.,Safe Email
359,Please find attached the minutes from our last meeting. Let me know if you have any questions.,Safe Email
360,Important: Update your email account settings to avoid service interruption.,Phishing Email
361,You have a new secure message from your bank. Click here to read it.,Phishing Email
362,Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email
363,Your payment has been declined. Update your billing information to continue using our service.,Phishing Email
364,Your invoice is attached. Please review and pay promptly to avoid penalties.,Phishing Email
365,Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email
366,"Hi John, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
367,Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email
368,Your subscription is about to expire. Renew now to continue enjoying our services.,Phishing Email
369,Congratulations! You've won a $3000 gift card. Click here to claim your prize.,Phishing Email
370,"Hello Chris, here is your weekly update on the project's progress. Please review and provide feedback.",Safe Email
371,"Hi Chris, please find the attached report for this month's performance review.",Safe Email
372,"Hi Sam, just a reminder about the project deadline next Friday. Let's ensure everything is on track.",Safe Email
373,Your invoice is attached. Please review and pay promptly to avoid penalties.,Phishing Email
374,Please find attached the minutes from our last meeting. Let me know if you have any questions.,Safe Email
375,Reminder: Our meeting is scheduled for tomorrow at 1 PM. Please be prepared with your updates.,Safe Email
376,Welcome to our newsletter! Stay tuned for the latest updates and offers.,Safe Email
