id,cleaned_email,isPhishing
154,dear morgan we are pleased to inform you about our upcoming webinar register now to secure your spot,0
155,hi casey just a reminder about the project deadline next friday lets ensure everything is on track,0
156,hi morgan just a reminder about the project deadline next friday lets ensure everything is on track,0
157,hi morgan just a reminder about the project deadline next friday lets ensure everything is on track,0
158,hello morgan here is your weekly update on the projects progress please review and provide feedback,0
159,important update your email account settings to avoid service interruption,1
160,your payment has been declined update your billing information to continue using our service,1
161,hi casey please find the attached report for this months performance review,0
162,hi taylor it was great meeting you at the conference lets catch up for coffee next week,0
163,dear morgan thank you for your purchase your order will be shipped soon,0
164,important update your email account settings to avoid service interruption,1
165,congratulations youve won a  gift card click here to claim your prize,1
166,we noticed some unusual activity in your account log in to review recent transactions,1
167,you have a new secure message from your bank click here to read it,1
168,important update your email account settings to avoid service interruption,1
169,hi alex please find the attached report for this months performance review,0
170,hi sam please find the attached report for this months performance review,0
171,dear sam we are pleased to inform you about our upcoming webinar register now to secure your spot,0
172,you have a new secure message from your bank click here to read it,1
173,your subscription is about to expire renew now to continue enjoying our services,1
174,reminder our meeting is scheduled for tomorrow at  pm please be prepared with your updates,0
175,alert unusual login attempt detected verify your account by clicking here,1
176,alert unusual login attempt detected verify your account by clicking here,1
177,welcome to our newsletter stay tuned for the latest updates and offers,0
178,welcome to our newsletter stay tuned for the latest updates and offers,0
179,important update your email account settings to avoid service interruption,1
180,your payment has been declined update your billing information to continue using our service,1
181,hi taylor just a reminder about the project deadline next friday lets ensure everything is on track,0
182,hi jane just a reminder about the project deadline next friday lets ensure everything is on track,0
183,you have a new secure message from your bank click here to read it,1
184,we noticed some unusual activity in your account log in to review recent transactions,1
185,dear sam your account has been compromised click the link to reset your password immediately,1
186,please find attached the minutes from our last meeting let me know if you have any questions,0
187,congratulations youve won a  gift card click here to claim your prize,1
188,dear jane your account has been compromised click the link to reset your password immediately,1
189,hi taylor just a reminder about the project deadline next friday lets ensure everything is on track,0
190,hi jane please find the attached report for this months performance review,0
191,dear drew your subscription has been successfully renewed thank you for your continued support,0
192,reminder our meeting is scheduled for tomorrow at  pm please be prepared with your updates,0
193,dear casey thank you for your purchase your order will be shipped soon,0
194,your package delivery is pending please provide your personal information to confirm delivery,1
195,hi casey please find the attached report for this months performance review,0
196,dear chris your account has been compromised click the link to reset your password immediately,1
197,alert unusual login attempt detected verify your account by clicking here,1
198,dear morgan your subscription has been successfully renewed thank you for your continued support,0
199,dear jane your account has been compromised click the link to reset your password immediately,1
200,you have a new secure message from your bank click here to read it,1
201,your invoice is attached please review and pay promptly to avoid penalties,1
202,dear sam thank you for your purchase your order will be shipped soon,0
203,dear john we are pleased to inform you about our upcoming webinar register now to secure your spot,0
204,your package delivery is pending please provide your personal information to confirm delivery,1
205,hello sam here is your weekly update on the projects progress please review and provide feedback,0
206,dear jordan thank you for your purchase your order will be shipped soon,0
207,congratulations youve won a  gift card click here to claim your prize,1
208,dear taylor thank you for your purchase your order will be shipped soon,0
209,dear morgan thank you for your purchase your order will be shipped soon,0
210,important update your email account settings to avoid service interruption,1
211,your subscription is about to expire renew now to continue enjoying our services,1
212,we noticed some unusual activity in your account log in to review recent transactions,1
213,your subscription is about to expire renew now to continue enjoying our services,1
214,dear alex your subscription has been successfully renewed thank you for your continued support,0
215,hi jane just a reminder about the project deadline next friday lets ensure everything is on track,0
216,hi jordan just a reminder about the project deadline next friday lets ensure everything is on track,0
217,important update your email account settings to avoid service interruption,1
218,you have a new secure message from your bank click here to read it,1
219,you have a new secure message from your bank click here to read it,1
220,your payment has been declined update your billing information to continue using our service,1
221,important update your email account settings to avoid service interruption,1
222,dear jane we are pleased to inform you about our upcoming webinar register now to secure your spot,0
223,you have a new secure message from your bank click here to read it,1
224,dear jane your account has been compromised click the link to reset your password immediately,1
225,dear taylor thank you for your purchase your order will be shipped soon,0
226,hi drew please find the attached report for this months performance review,0
227,welcome to our newsletter stay tuned for the latest updates and offers,0
228,dear casey your account has been compromised click the link to reset your password immediately,1
229,dear john we are pleased to inform you about our upcoming webinar register now to secure your spot,0
230,you have a new secure message from your bank click here to read it,1
231,your payment has been declined update your billing information to continue using our service,1
232,hello chris here is your weekly update on the projects progress please review and provide feedback,0
233,welcome to our newsletter stay tuned for the latest updates and offers,0
234,your invoice is attached please review and pay promptly to avoid penalties,1
235,alert unusual login attempt detected verify your account by clicking here,1
236,your subscription is about to expire renew now to continue enjoying our services,1
237,we noticed some unusual activity in your account log in to review recent transactions,1
238,hi alex please find the attached report for this months performance review,0
239,please find attached the minutes from our last meeting let me know if you have any questions,0
240,dear jane thank you for your purchase your order will be shipped soon,0
241,hello casey here is your weekly update on the projects progress please review and provide feedback,0
242,dear alex thank you for your purchase your order will be shipped soon,0
243,you have a new secure message from your bank click here to read it,1
244,you have a new secure message from your bank click here to read it,1
245,dear jane we are pleased to inform you about our upcoming webinar register now to secure your spot,0
246,alert unusual login attempt detected verify your account by clicking here,1
247,congratulations youve won a  gift card click here to claim your prize,1
248,your subscription is about to expire renew now to continue enjoying our services,1
249,we noticed some unusual activity in your account log in to review recent transactions,1
250,hi casey just a reminder about the project deadline next friday lets ensure everything is on track,0
251,dear taylor we are pleased to inform you about our upcoming webinar register now to secure your spot,0
252,hi jordan it was great meeting you at the conference lets catch up for coffee next week,0
253,important update your email account settings to avoid service interruption,1
254,hi john it was great meeting you at the conference lets catch up for coffee next week,0
255,hi jane please find the attached report for this months performance review,0
256,your invoice is attached please review and pay promptly to avoid penalties,1
257,congratulations youve won a  gift card click here to claim your prize,1
258,you have a new secure message from your bank click here to read it,1
259,dear jane we are pleased to inform you about our upcoming webinar register now to secure your spot,0
260,hi taylor please find the attached report for this months performance review,0
261,your subscription is about to expire renew now to continue enjoying our services,1
262,congratulations youve won a  gift card click here to claim your prize,1
263,hello jordan here is your weekly update on the projects progress please review and provide feedback,0
264,dear casey your subscription has been successfully renewed thank you for your continued support,0
265,please find attached the minutes from our last meeting let me know if you have any questions,0
266,hi john just a reminder about the project deadline next friday lets ensure everything is on track,0
267,we noticed some unusual activity in your account log in to review recent transactions,1
268,reminder our meeting is scheduled for tomorrow at  pm please be prepared with your updates,0
269,you have a new secure message from your bank click here to read it,1
270,hello alex here is your weekly update on the projects progress please review and provide feedback,0
271,alert unusual login attempt detected verify your account by clicking here,1
272,your subscription is about to expire renew now to continue enjoying our services,1
273,reminder our meeting is scheduled for tomorrow at  am please be prepared with your updates,0
274,hello sam here is your weekly update on the projects progress please review and provide feedback,0
275,your subscription is about to expire renew now to continue enjoying our services,1
276,hi drew it was great meeting you at the conference lets catch up for coffee next week,0
277,you have a new secure message from your bank click here to read it,1
278,your payment has been declined update your billing information to continue using our service,1
279,dear casey your subscription has been successfully renewed thank you for your continued support,0
280,congratulations youve won a  gift card click here to claim your prize,1
281,hi drew please find the attached report for this months performance review,0
282,reminder our meeting is scheduled for tomorrow at  pm please be prepared with your updates,0
283,hi chris it was great meeting you at the conference lets catch up for coffee next week,0
284,your payment has been declined update your billing information to continue using our service,1
285,hello alex here is your weekly update on the projects progress please review and provide feedback,0
286,hello jane here is your weekly update on the projects progress please review and provide feedback,0
287,dear sam thank you for your purchase your order will be shipped soon,0
288,alert unusual login attempt detected verify your account by clicking here,1
289,dear taylor your subscription has been successfully renewed thank you for your continued support,0
290,we noticed some unusual activity in your account log in to review recent transactions,1
291,your invoice is attached please review and pay promptly to avoid penalties,1
292,congratulations youve won a  gift card click here to claim your prize,1
293,hi jordan it was great meeting you at the conference lets catch up for coffee next week,0
294,dear drew your subscription has been successfully renewed thank you for your continued support,0
295,hi jordan it was great meeting you at the conference lets catch up for coffee next week,0
296,alert unusual login attempt detected verify your account by clicking here,1
297,welcome to our newsletter stay tuned for the latest updates and offers,0
298,hello alex here is your weekly update on the projects progress please review and provide feedback,0
299,dear chris your account has been compromised click the link to reset your password immediately,1
300,hi jane it was great meeting you at the conference lets catch up for coffee next week,0
301,dear jordan thank you for your purchase your order will be shipped soon,0
302,you have a new secure message from your bank click here to read it,1
303,important update your email account settings to avoid service interruption,1
304,your payment has been declined update your billing information to continue using our service,1
305,your subscription is about to expire renew now to continue enjoying our services,1
306,your package delivery is pending please provide your personal information to confirm delivery,1
307,dear chris your subscription has been successfully renewed thank you for your continued support,0
308,your invoice is attached please review and pay promptly to avoid penalties,1
309,dear casey your account has been compromised click the link to reset your password immediately,1
310,hi john just a reminder about the project deadline next friday lets ensure everything is on track,0
311,reminder our meeting is scheduled for tomorrow at  am please be prepared with your updates,0
312,your subscription is about to expire renew now to continue enjoying our services,1
313,your subscription is about to expire renew now to continue enjoying our services,1
314,hi morgan it was great meeting you at the conference lets catch up for coffee next week,0
315,important update your email account settings to avoid service interruption,1
316,hello chris here is your weekly update on the projects progress please review and provide feedback,0
317,hello taylor here is your weekly update on the projects progress please review and provide feedback,0
318,your subscription is about to expire renew now to continue enjoying our services,1
319,dear jordan your account has been compromised click the link to reset your password immediately,1
320,welcome to our newsletter stay tuned for the latest updates and offers,0
321,hello alex here is your weekly update on the projects progress please review and provide feedback,0
322,dear morgan your account has been compromised click the link to reset your password immediately,1
323,we noticed some unusual activity in your account log in to review recent transactions,1
324,hi morgan it was great meeting you at the conference lets catch up for coffee next week,0
325,dear sam your account has been compromised click the link to reset your password immediately,1
326,dear jane we are pleased to inform you about our upcoming webinar register now to secure your spot,0
327,hi sam just a reminder about the project deadline next friday lets ensure everything is on track,0
328,your invoice is attached please review and pay promptly to avoid penalties,1
329,dear drew thank you for your purchase your order will be shipped soon,0
330,reminder our meeting is scheduled for tomorrow at  pm please be prepared with your updates,0
331,hello taylor here is your weekly update on the projects progress please review and provide feedback,0
332,welcome to our newsletter stay tuned for the latest updates and offers,0
333,we noticed some unusual activity in your account log in to review recent transactions,1
334,dear morgan your account has been compromised click the link to reset your password immediately,1
335,hi chris please find the attached report for this months performance review,0
336,your package delivery is pending please provide your personal information to confirm delivery,1
337,hi drew please find the attached report for this months performance review,0
338,hello jane here is your weekly update on the projects progress please review and provide feedback,0
339,your subscription is about to expire renew now to continue enjoying our services,1
340,your package delivery is pending please provide your personal information to confirm delivery,1
341,congratulations youve won a  gift card click here to claim your prize,1
342,your invoice is attached please review and pay promptly to avoid penalties,1
343,your package delivery is pending please provide your personal information to confirm delivery,1
344,your payment has been declined update your billing information to continue using our service,1
345,hi casey just a reminder about the project deadline next friday lets ensure everything is on track,0
346,important update your email account settings to avoid service interruption,1
347,congratulations youve won a  gift card click here to claim your prize,1
348,welcome to our newsletter stay tuned for the latest updates and offers,0
349,important update your email account settings to avoid service interruption,1
350,you have a new secure message from your bank click here to read it,1
351,dear jordan we are pleased to inform you about our upcoming webinar register now to secure your spot,0
352,your subscription is about to expire renew now to continue enjoying our services,1
353,important update your email account settings to avoid service interruption,1
354,your payment has been declined update your billing information to continue using our service,1
355,congratulations youve won a  gift card click here to claim your prize,1
356,your subscription is about to expire renew now to continue enjoying our services,1
357,dear taylor thank you for your purchase your order will be shipped soon,0
358,hi john just a reminder about the project deadline next friday lets ensure everything is on track,0
359,please find attached the minutes from our last meeting let me know if you have any questions,0
360,please find attached the minutes from our last meeting let me know if you have any questions,0
361,important update your email account settings to avoid service interruption,1
362,you have a new secure message from your bank click here to read it,1
363,your subscription is about to expire renew now to continue enjoying our services,1
364,your payment has been declined update your billing information to continue using our service,1
365,your invoice is attached please review and pay promptly to avoid penalties,1
366,welcome to our newsletter stay tuned for the latest updates and offers,0
367,hi john just a reminder about the project deadline next friday lets ensure everything is on track,0
368,your subscription is about to expire renew now to continue enjoying our services,1
369,your subscription is about to expire renew now to continue enjoying our services,1
370,congratulations youve won a  gift card click here to claim your prize,1
371,hello chris here is your weekly update on the projects progress please review and provide feedback,0
372,hi chris please find the attached report for this months performance review,0
373,hi sam just a reminder about the project deadline next friday lets ensure everything is on track,0
374,your invoice is attached please review and pay promptly to avoid penalties,1
375,please find attached the minutes from our last meeting let me know if you have any questions,0
376,reminder our meeting is scheduled for tomorrow at  pm please be prepared with your updates,0
377,welcome to our newsletter stay tuned for the latest updates and offers,0
378,dear jane we are pleased to inform you about our upcoming webinar register now to secure your spot,0
379,your payment has been declined update your billing information to continue using our service,1
380,dear chris your subscription has been successfully renewed thank you for your continued support,0
381,your payment has been declined update your billing information to continue using our service,1
382,dear taylor we are pleased to inform you about our upcoming webinar register now to secure your spot,0
383,your subscription is about to expire renew now to continue enjoying our services,1
384,alert unusual login attempt detected verify your account by clicking here,1
385,please find attached the minutes from our last meeting let me know if you have any questions,0
386,your package delivery is pending please provide your personal information to confirm delivery,1
387,your subscription is about to expire renew now to continue enjoying our services,1
388,dear casey we are pleased to inform you about our upcoming webinar register now to secure your spot,0
389,important update your email account settings to avoid service interruption,1
390,your payment has been declined update your billing information to continue using our service,1
391,alert unusual login attempt detected verify your account by clicking here,1
392,hi jane just a reminder about the project deadline next friday lets ensure everything is on track,0
393,your package delivery is pending please provide your personal information to confirm delivery,1
394,dear jane we are pleased to inform you about our upcoming webinar register now to secure your spot,0
395,hello sam here is your weekly update on the projects progress please review and provide feedback,0
396,dear casey your account has been compromised click the link to reset your password immediately,1
397,dear jordan your account has been compromised click the link to reset your password immediately,1
398,your invoice is attached please review and pay promptly to avoid penalties,1
399,please find attached the minutes from our last meeting let me know if you have any questions,0
400,reminder our meeting is scheduled for tomorrow at  pm please be prepared with your updates,0
401,hi taylor just a reminder about the project deadline next friday lets ensure everything is on track,0
402,hi john please find the attached report for this months performance review,0
403,reminder our meeting is scheduled for tomorrow at  pm please be prepared with your updates,0
404,please find attached the minutes from our last meeting let me know if you have any questions,0
405,hi casey it was great meeting you at the conference lets catch up for coffee next week,0
406,welcome to our newsletter stay tuned for the latest updates and offers,0
407,hi john it was great meeting you at the conference lets catch up for coffee next week,0
408,alert unusual login attempt detected verify your account by clicking here,1
409,welcome to our newsletter stay tuned for the latest updates and offers,0
410,hi drew it was great meeting you at the conference lets catch up for coffee next week,0
411,dear john your account has been compromised click the link to reset your password immediately,1
412,dear john your subscription has been successfully renewed thank you for your continued support,0
413,we noticed some unusual activity in your account log in to review recent transactions,1
414,we noticed some unusual activity in your account log in to review recent transactions,1
415,hello john here is your weekly update on the projects progress please review and provide feedback,0
416,important update your email account settings to avoid service interruption,1
417,welcome to our newsletter stay tuned for the latest updates and offers,0
418,dear chris your account has been compromised click the link to reset your password immediately,1
419,alert unusual login attempt detected verify your account by clicking here,1
420,hello taylor here is your weekly update on the projects progress please review and provide feedback,0
421,dear jane we are pleased to inform you about our upcoming webinar register now to secure your spot,0
422,welcome to our newsletter stay tuned for the latest updates and offers,0
423,hi jordan it was great meeting you at the conference lets catch up for coffee next week,0
424,your package delivery is pending please provide your personal information to confirm delivery,1
425,congratulations youve won a  gift card click here to claim your prize,1
426,you have a new secure message from your bank click here to read it,1
427,welcome to our newsletter stay tuned for the latest updates and offers,0
428,reminder our meeting is scheduled for tomorrow at  pm please be prepared with your updates,0
429,dear sam thank you for your purchase your order will be shipped soon,0
430,hi morgan please find the attached report for this months performance review,0
431,hi drew just a reminder about the project deadline next friday lets ensure everything is on track,0
432,hi morgan please find the attached report for this months performance review,0
433,please find attached the minutes from our last meeting let me know if you have any questions,0
434,welcome to our newsletter stay tuned for the latest updates and offers,0
435,your invoice is attached please review and pay promptly to avoid penalties,1
436,your payment has been declined update your billing information to continue using our service,1
437,hi alex please find the attached report for this months performance review,0
438,congratulations youve won a  gift card click here to claim your prize,1
439,hi alex please find the attached report for this months performance review,0
440,welcome to our newsletter stay tuned for the latest updates and offers,0
441,important update your email account settings to avoid service interruption,1
442,reminder our meeting is scheduled for tomorrow at  am please be prepared with your updates,0
443,hi drew please find the attached report for this months performance review,0
444,please find attached the minutes from our last meeting let me know if you have any questions,0
445,reminder our meeting is scheduled for tomorrow at  am please be prepared with your updates,0
446,your payment has been declined update your billing information to continue using our service,1
447,hi jordan it was great meeting you at the conference lets catch up for coffee next week,0
448,congratulations youve won a  gift card click here to claim your prize,1
449,hello taylor here is your weekly update on the projects progress please review and provide feedback,0
450,your subscription is about to expire renew now to continue enjoying our services,1
451,hello john here is your weekly update on the projects progress please review and provide feedback,0
452,congratulations youve won a  gift card click here to claim your prize,1
453,hi morgan just a reminder about the project deadline next friday lets ensure everything is on track,0
454,dear john your subscription has been successfully renewed thank you for your continued support,0
455,dear sam thank you for your purchase your order will be shipped soon,0
456,your package delivery is pending please provide your personal information to confirm delivery,1
457,please find attached the minutes from our last meeting let me know if you have any questions,0
458,reminder our meeting is scheduled for tomorrow at  am please be prepared with your updates,0
459,your subscription is about to expire renew now to continue enjoying our services,1
460,dear drew your account has been compromised click the link to reset your password immediately,1
461,hi jordan please find the attached report for this months performance review,0
462,you have a new secure message from your bank click here to read it,1
463,congratulations youve won a  gift card click here to claim your prize,1
464,your package delivery is pending please provide your personal information to confirm delivery,1
465,congratulations youve won a  gift card click here to claim your prize,1
466,your subscription is about to expire renew now to continue enjoying our services,1
467,hi drew it was great meeting you at the conference lets catch up for coffee next week,0
468,please find attached the minutes from our last meeting let me know if you have any questions,0
469,please find attached the minutes from our last meeting let me know if you have any questions,0
470,your payment has been declined update your billing information to continue using our service,1
471,your payment has been declined update your billing information to continue using our service,1
472,your package delivery is pending please provide your personal information to confirm delivery,1
473,dear jane your subscription has been successfully renewed thank you for your continued support,0
474,hi jane please find the attached report for this months performance review,0
475,your payment has been declined update your billing information to continue using our service,1
476,dear alex we are pleased to inform you about our upcoming webinar register now to secure your spot,0
477,your package delivery is pending please provide your personal information to confirm delivery,1
478,congratulations youve won a  gift card click here to claim your prize,1
479,dear taylor your subscription has been successfully renewed thank you for your continued support,0
480,hi jane just a reminder about the project deadline next friday lets ensure everything is on track,0
481,welcome to our newsletter stay tuned for the latest updates and offers,0
482,please find attached the minutes from our last meeting let me know if you have any questions,0
483,congratulations youve won a  gift card click here to claim your prize,1
484,dear sam your account has been compromised click the link to reset your password immediately,1
485,welcome to our newsletter stay tuned for the latest updates and offers,0
486,hi sam it was great meeting you at the conference lets catch up for coffee next week,0
487,your package delivery is pending please provide your personal information to confirm delivery,1
488,dear casey your subscription has been successfully renewed thank you for your continued support,0
489,hi jane it was great meeting you at the conference lets catch up for coffee next week,0
490,important update your email account settings to avoid service interruption,1
491,dear chris we are pleased to inform you about our upcoming webinar register now to secure your spot,0
492,congratulations youve won a  gift card click here to claim your prize,1
493,your subscription is about to expire renew now to continue enjoying our services,1
494,dear casey your account has been compromised click the link to reset your password immediately,1
495,dear jane your subscription has been successfully renewed thank you for your continued support,0
496,hi casey it was great meeting you at the conference lets catch up for coffee next week,0
497,your subscription is about to expire renew now to continue enjoying our services,1
498,hi chris just a reminder about the project deadline next friday lets ensure everything is on track,0
